genre	artist_name	track_name	track_id	popularity
Dance	The Chainsmokers	Something Just Like This	6RUKPb4LETWmmr3iAEQktW	83
Dance	Alec Benjamin	If We Have Each Other	7pT6WSg4PCt4mr5ZFyUfsF	77
Dance	Liam Payne	Strip That Down	4Ro98RCK90oHqqSZUnTFq5	81
Dance	Charlie Puth	Attention	5cF0dROlMOK5uNZtivgu50	83
Dance	Macklemore & Ryan Lewis	Can't Hold Us - feat. Ray Dalton	3bidbhpOYeV4knp8AIu8Xn	82
Dance	Dua Lipa	Kiss and Make Up	7jr3iPu4O4bTCVwLMbdU2i	87
Dance	Shakira	Hips Don't Lie	3ZFTkvIE7kyPt6Nu3PEa7V	82
Dance	Rita Ora	Let You Love Me	6xtcFXSo8H9BZN637BMVKS	86
Dance	Calvin Harris	Slide (feat. Frank Ocean & Migos)	6gpcs5eMhJwax4mIfKDYQk	76
Dance	Christina Perri	A Thousand Years	6lanRgr6wXibZr8KgzXxBl	81
Dance	Robin Schulz	Speechless (feat. Erika Sirola)	1rCcsYnmqbMYdkG7kS9GC5	88
Dance	DJ Khaled	No Brainer	5WvAo7DNuPRmk4APhdPzi8	84
Dance	Ariana Grande	everytime	0WdR2AyLW1Drd3OUdwezM0	77
Dance	ITZY	???? DALLA DALLA	6G7DuXoSGeAf6BZivJdEjF	82
Dance	Beyonc�	Halo	4JehYebiI9JE8sR8MisGVb	79
Dance	Shawn Mendes	Mercy	0AS63m1wHv9n4VVRizK6Hc	82
Dance	The Chainsmokers	Don't Let Me Down	1i1fxkWeaMmKEB4T7zqbzK	81
Dance	Camila Cabello	Never Be the Same	4eWQlBRaTjPPUlzacqEeoQ	81
Dance	Jonas Blue	Rise	3u1S1OmAUhx5DRlLrXqyp3	86
Dance	Train	Drops of Jupiter	2hKdd3qO7cWr2Jo0Bcs0MA	78
Dance	Ariana Grande	goodnight n go	14kYOiFVPb7E7NfFbqhdln	76
Dance	DNCE	Cake By The Ocean	76hfruVvmfQbw0eYn1nmeC	81
Dance	Avicii	Wake Me Up	4h8VwCb1MTGoLKueQ1WgbD	84
Dance	Madison Beer	Home with You	0iwsQWgtjSq2kUXuZwTDAL	79
Dance	Maggie Lindemann	Pretty Girl - Cheat Codes X CADE Remix	1NDxZ7cFAo481dtYWdrUnR	78
Dance	Miley Cyrus	We Can't Stop	2y4lAQpi5VTNLu2ldeTdUH	79
Dance	Ariana Grande	Love Me Harder	5J4ZkQpzMUFojo1CtAZYpn	78
Dance	Hailee Steinfeld	Love Myself	36phXHOKx8rO7CMp2vNX4x	77
Dance	Steve Aoki	Waste It On Me (feat. BTS)	2r1T6xGTVaNAqBoPH4lZEE	81
Dance	TLC	No Scrubs	1KGi9sZVMeszgZOWivFpxs	81
Dance	Spice Girls	Wannabe	1Je1IMUlBXcx1Fz0WE7oPT	81
Dance	Julia Michaels	Jump (with Trippie Redd)	2OvV4NjEBRE9v8Oo7QeUCq	77
Dance	Luis Fonsi	Imposible	3ao3OVxHlb3C08vAaApUlm	88
Dance	Noah Cyrus	Again	2S2od3hT7ceytw7d1pTRuE	76
Dance	Niall Horan	Slow Hands	2cOUlop2ZakjOKe4WinesN	79
Dance	a-ha	Take on Me	2WfaOiMkCvy7F5fcp2zZ8L	84
Dance	Ansel Elgort	Supernova	2ZIZXWnU52s0C75sPYiwvh	77
Dance	Mario	Let Me Love You	3ibKnFDaa3GhpPGlOUj7ff	80
Dance	Normani	Waves (feat. 6LACK)	2qHk6Nz5glNQrjW8Rhd5kv	76
Dance	Lauv	Superhero	1Fo4OvzP9PThFKMeMIAEYu	79
Dance	Rihanna	Umbrella	49FYlytm3dAAraYgpoJZux	82
Dance	ZAYN	There You Are	155EsNGoXo7XSVF84oTPam	78
